kota_administrasi,kecamatan,jumlah_rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Selatan,Pesanggarahan,1,1,2,0,0,0,0,0,0,0,0,0,0,40,2013,10
Jakarta Timur,Jatinegara,8,15,76,1969,5420,0,0,0,0,0,0,0,0,100,2013,10
Jakarta Timur,Kramat Jati,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2013,10
Jakarta Utara,Penjaringan,2,2,12,1669,6676,0,0,0,0,0,0,0,0,50,2013,10
Jakarta Barat,Cengkareng,3,3,10,0,0,0,0,0,0,0,0,0,0,80,2013,11
Jakarta Barat,Kembangan,2,5,87,312,227,2,0,0,0,71,71,2,0,80,2013,11
Jakarta Selatan,Kebayoran Baru,3,3,0,0,0,0,0,0,0,0,0,0,0,30,2013,11
Jakarta Selatan,Kebayoran Lama,4,7,31,141,350,0,0,0,0,0,0,0,0,120,2013,11
Jakarta Selatan,Mampang Prapatan,1,1,4,0,0,0,0,0,0,0,0,0,0,70,2013,11
Jakarta Selatan,Pesanggarahan,2,8,11,185,639,0,0,0,0,273,15,6,0,100,2013,11
Jakarta Timur,Jatinegara,13,57,245,5773,16851,0,0,0,0,0,0,0,0,100,2013,11
Jakarta Timur,Kramat Jati,1,1,1,80,300,0,0,0,0,0,0,0,0,70,2013,11
Jakarta Timur,Makasar,2,2,10,0,0,0,0,0,0,0,0,0,0,70,2013,11
