date,kota_administrasi,kecamatan,ketinggian_air,ketinggian_air_forecast
2019-09-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-10-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2019-11-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.5073015093803406
2019-12-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.37710872292518616
2020-01-01,Jakarta Barat,Palmerah,8.881784197001252e-16,12.881804466247559
2020-02-01,Jakarta Barat,Palmerah,40.0,13.378009796142578
2020-03-01,Jakarta Barat,Palmerah,150.0,37.4734992980957
2020-04-01,Jakarta Barat,Palmerah,50.0,5.909140110015869
2020-05-01,Jakarta Barat,Palmerah,20.0,6.860266208648682
2020-06-01,Jakarta Barat,Palmerah,8.881784197001252e-16,1.8145672082901
2020-07-01,Jakarta Barat,Palmerah,8.881784197001252e-16,8.4442720413208
2020-08-01,Jakarta Barat,Palmerah,8.881784197001252e-16,3.4536492824554443
2020-09-01,Jakarta Barat,Palmerah,8.881784197001252e-16,0.0
2020-10-01,Jakarta Barat,Palmerah,30.0,0.0
2020-11-01,Jakarta Barat,Palmerah,30.0,0.0
2018-12-01,Jakarta Barat,Taman Sari,0.0,0.0
2019-01-01,Jakarta Barat,Taman Sari,0.0,0.0
2019-02-01,Jakarta Barat,Taman Sari,0.0,0.0
2019-03-01,Jakarta Barat,Taman Sari,0.0,8.832781791687012
2019-04-01,Jakarta Barat,Taman Sari,0.0,20.02229881286621
2019-05-01,Jakarta Barat,Taman Sari,0.0,13.253564834594727
2019-06-01,Jakarta Barat,Taman Sari,0.0,0.0
2019-07-01,Jakarta Barat,Taman Sari,0.0,0.5021589398384094
2019-08-01,Jakarta Barat,Taman Sari,0.0,1.9985724687576294
2019-09-01,Jakarta Barat,Taman Sari,0.0,1.7382208108901978
2019-10-01,Jakarta Barat,Taman Sari,0.0,1.2602702379226685
2019-11-01,Jakarta Barat,Taman Sari,0.0,0.0
2019-12-01,Jakarta Barat,Taman Sari,0.0,0.0
2020-01-01,Jakarta Barat,Taman Sari,0.0,0.0
2020-02-01,Jakarta Barat,Taman Sari,0.0,0.0
2020-03-01,Jakarta Barat,Taman Sari,0.0,25.874900817871094
2020-04-01,Jakarta Barat,Taman Sari,40.0,51.59172439575195
2020-05-01,Jakarta Barat,Taman Sari,0.0,8.360225677490234
2020-06-01,Jakarta Barat,Taman Sari,0.0,15.412440299987793
2020-07-01,Jakarta Barat,Taman Sari,0.0,0.0
2020-08-01,Jakarta Barat,Taman Sari,0.0,0.0
2020-09-01,Jakarta Barat,Taman Sari,20.0,0.0
2020-10-01,Jakarta Barat,Taman Sari,0.0,0.8469145894050598
2020-11-01,Jakarta Barat,Taman Sari,0.0,0.0
2018-12-01,Jakarta Barat,Tambora,0.0,6.048176288604736
2019-01-01,Jakarta Barat,Tambora,0.0,4.362010955810547
2019-02-01,Jakarta Barat,Tambora,0.0,0.8644354343414307
2019-03-01,Jakarta Barat,Tambora,0.0,0.0
2019-04-01,Jakarta Barat,Tambora,0.0,1.6085498332977295
2019-05-01,Jakarta Barat,Tambora,40.0,2.6118814945220947
2019-06-01,Jakarta Barat,Tambora,0.0,0.3664581775665283
2019-07-01,Jakarta Barat,Tambora,0.0,0.0
2019-08-01,Jakarta Barat,Tambora,0.0,0.855614423751831
2019-09-01,Jakarta Barat,Tambora,0.0,2.8037710189819336
2019-10-01,Jakarta Barat,Tambora,0.0,2.960782051086426
2019-11-01,Jakarta Barat,Tambora,0.0,0.0
2019-12-01,Jakarta Barat,Tambora,0.0,0.0
2020-01-01,Jakarta Barat,Tambora,0.0,0.0
2020-02-01,Jakarta Barat,Tambora,0.0,0.1524066925048828
2020-03-01,Jakarta Barat,Tambora,0.0,27.932693481445312
2020-04-01,Jakarta Barat,Tambora,50.0,23.481754302978516
2020-05-01,Jakarta Barat,Tambora,0.0,0.9409756660461426
2020-06-01,Jakarta Barat,Tambora,0.0,2.4760217666625977
2020-07-01,Jakarta Barat,Tambora,0.0,4.156857967376709
2020-08-01,Jakarta Barat,Tambora,0.0,0.0
2020-09-01,Jakarta Barat,Tambora,0.0,0.0
2020-10-01,Jakarta Barat,Tambora,0.0,0.0
2020-11-01,Jakarta Barat,Tambora,30.0,3.1515896320343018
2018-12-01,Jakarta Pusat,Gambir,0.0,0.0
2019-01-01,Jakarta Pusat,Gambir,0.0,0.0
2019-02-01,Jakarta Pusat,Gambir,0.0,0.057331085205078125
2019-03-01,Jakarta Pusat,Gambir,0.0,0.004793763160705566
2019-04-01,Jakarta Pusat,Gambir,0.0,1.104284405708313
2019-05-01,Jakarta Pusat,Gambir,0.0,1.3023825883865356
2019-06-01,Jakarta Pusat,Gambir,0.0,0.8348866105079651
2019-07-01,Jakarta Pusat,Gambir,0.0,0.6509905457496643
2019-08-01,Jakarta Pusat,Gambir,0.0,0.1484372615814209
2019-09-01,Jakarta Pusat,Gambir,0.0,0.10192596912384033
2019-10-01,Jakarta Pusat,Gambir,0.0,0.09619796276092529
2019-11-01,Jakarta Pusat,Gambir,0.0,0.0
2019-12-01,Jakarta Pusat,Gambir,0.0,0.20382654666900635
2020-01-01,Jakarta Pusat,Gambir,0.0,0.7265650033950806
2020-02-01,Jakarta Pusat,Gambir,0.0,1.6914880275726318
2020-03-01,Jakarta Pusat,Gambir,0.0,0.0
2020-04-01,Jakarta Pusat,Gambir,20.0,21.587690353393555
2020-05-01,Jakarta Pusat,Gambir,0.0,1.1735976934432983
2020-06-01,Jakarta Pusat,Gambir,0.0,1.8517751693725586
2020-07-01,Jakarta Pusat,Gambir,0.0,0.9557769298553467
2020-08-01,Jakarta Pusat,Gambir,0.0,0.0
2020-09-01,Jakarta Pusat,Gambir,0.0,0.0
2020-10-01,Jakarta Pusat,Gambir,0.0,0.0
2020-11-01,Jakarta Pusat,Gambir,0.0,0.30637127161026
2018-12-01,Jakarta Pusat,Johar Baru,0.0,2.895583391189575
2019-01-01,Jakarta Pusat,Johar Baru,0.0,0.0
2019-02-01,Jakarta Pusat,Johar Baru,0.0,0.0
2019-03-01,Jakarta Pusat,Johar Baru,0.0,0.0
2019-04-01,Jakarta Pusat,Johar Baru,0.0,0.08216110616922379
2019-05-01,Jakarta Pusat,Johar Baru,0.0,0.0943102017045021
2019-06-01,Jakarta Pusat,Johar Baru,0.0,0.0
2019-07-01,Jakarta Pusat,Johar Baru,0.0,0.6159359812736511
2019-08-01,Jakarta Pusat,Johar Baru,0.0,0.037892501801252365
2019-09-01,Jakarta Pusat,Johar Baru,0.0,1.615030288696289
2019-10-01,Jakarta Pusat,Johar Baru,0.0,0.8163741230964661
2019-11-01,Jakarta Pusat,Johar Baru,0.0,0.0
2019-12-01,Jakarta Pusat,Johar Baru,0.0,0.01582280732691288
2020-01-01,Jakarta Pusat,Johar Baru,0.0,3.2889318466186523
2020-02-01,Jakarta Pusat,Johar Baru,0.0,3.6107118129730225
2020-03-01,Jakarta Pusat,Johar Baru,30.0,0.0
2020-04-01,Jakarta Pusat,Johar Baru,50.0,46.884666442871094
2020-05-01,Jakarta Pusat,Johar Baru,0.0,0.0
2020-06-01,Jakarta Pusat,Johar Baru,0.0,0.0
2020-07-01,Jakarta Pusat,Johar Baru,0.0,0.5138879418373108
2020-08-01,Jakarta Pusat,Johar Baru,0.0,0.0
2020-09-01,Jakarta Pusat,Johar Baru,0.0,0.0
2020-10-01,Jakarta Pusat,Johar Baru,0.0,0.0
2020-11-01,Jakarta Pusat,Johar Baru,0.0,0.0
2018-12-01,Jakarta Pusat,Sawah Besar,40.0,1.8898396492004395
2019-01-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2019-02-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2019-03-01,Jakarta Pusat,Sawah Besar,0.0,0.6815794110298157
2019-04-01,Jakarta Pusat,Sawah Besar,0.0,1.952437400817871
2019-05-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2019-06-01,Jakarta Pusat,Sawah Besar,0.0,0.636812150478363
2019-07-01,Jakarta Pusat,Sawah Besar,0.0,1.0074574947357178
2019-08-01,Jakarta Pusat,Sawah Besar,0.0,0.02050868608057499
2019-09-01,Jakarta Pusat,Sawah Besar,0.0,0.5757622122764587
2019-10-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2019-11-01,Jakarta Pusat,Sawah Besar,0.0,2.081171751022339
2019-12-01,Jakarta Pusat,Sawah Besar,0.0,0.04443923756480217
2020-01-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2020-02-01,Jakarta Pusat,Sawah Besar,0.0,3.378634214401245
2020-03-01,Jakarta Pusat,Sawah Besar,70.0,4.317844867706299
2020-04-01,Jakarta Pusat,Sawah Besar,40.0,0.0
2020-05-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2020-06-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2020-07-01,Jakarta Pusat,Sawah Besar,0.0,1.671112298965454
2020-08-01,Jakarta Pusat,Sawah Besar,0.0,0.9072625041007996
2020-09-01,Jakarta Pusat,Sawah Besar,0.0,0.0
2020-10-01,Jakarta Pusat,Sawah Besar,0.0,0.9115167260169983
2020-11-01,Jakarta Pusat,Sawah Besar,0.0,2.0957729816436768
2018-12-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-01-01,Jakarta Pusat,Tanah Abang,0.0,0.7028147578239441
2019-02-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-03-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-04-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-05-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-06-01,Jakarta Pusat,Tanah Abang,0.0,2.631242513656616
2019-07-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-08-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-09-01,Jakarta Pusat,Tanah Abang,0.0,6.416469097137451
2019-10-01,Jakarta Pusat,Tanah Abang,0.0,1.850549340248108
2019-11-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2019-12-01,Jakarta Pusat,Tanah Abang,0.0,3.7324912548065186
2020-01-01,Jakarta Pusat,Tanah Abang,0.0,33.72300720214844
2020-02-01,Jakarta Pusat,Tanah Abang,0.0,47.904388427734375
2020-03-01,Jakarta Pusat,Tanah Abang,150.0,80.69522857666016
2020-04-01,Jakarta Pusat,Tanah Abang,120.0,103.34542083740234
2020-05-01,Jakarta Pusat,Tanah Abang,0.0,0.6523491740226746
2020-06-01,Jakarta Pusat,Tanah Abang,0.0,3.2355287075042725
2020-07-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2020-08-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2020-09-01,Jakarta Pusat,Tanah Abang,0.0,0.0
2020-10-01,Jakarta Pusat,Tanah Abang,15.0,0.0
2020-11-01,Jakarta Pusat,Tanah Abang,20.0,21.43593406677246
2018-12-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2019-01-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2019-02-01,Jakarta Pusat,Cempaka Putih,0.0,0.5253784656524658
2019-03-01,Jakarta Pusat,Cempaka Putih,0.0,1.7615268230438232
2019-04-01,Jakarta Pusat,Cempaka Putih,0.0,2.01932692527771
2019-05-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2019-06-01,Jakarta Pusat,Cempaka Putih,0.0,0.2922358512878418
2019-07-01,Jakarta Pusat,Cempaka Putih,0.0,0.08193588256835938
2019-08-01,Jakarta Pusat,Cempaka Putih,0.0,0.287655234336853
2019-09-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2019-10-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2019-11-01,Jakarta Pusat,Cempaka Putih,0.0,3.2703447341918945
2019-12-01,Jakarta Pusat,Cempaka Putih,0.0,4.096689701080322
2020-01-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-02-01,Jakarta Pusat,Cempaka Putih,0.0,3.7171502113342285
2020-03-01,Jakarta Pusat,Cempaka Putih,0.0,5.070226669311523
2020-04-01,Jakarta Pusat,Cempaka Putih,30.0,38.38138198852539
2020-05-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-06-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-07-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-08-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-09-01,Jakarta Pusat,Cempaka Putih,0.0,0.0
2020-10-01,Jakarta Pusat,Cempaka Putih,0.0,2.2696211338043213
2020-11-01,Jakarta Pusat,Cempaka Putih,0.0,4.450111389160156
2018-12-01,Jakarta Pusat,Menteng,0.0,0.0
2019-01-01,Jakarta Pusat,Menteng,0.0,0.0
2019-02-01,Jakarta Pusat,Menteng,0.0,0.0
2019-03-01,Jakarta Pusat,Menteng,0.0,0.0
2019-04-01,Jakarta Pusat,Menteng,0.0,0.0
2019-05-01,Jakarta Pusat,Menteng,0.0,0.49731555581092834
2019-06-01,Jakarta Pusat,Menteng,0.0,1.3808320760726929
2019-07-01,Jakarta Pusat,Menteng,0.0,0.43079158663749695
2019-08-01,Jakarta Pusat,Menteng,0.0,1.547184944152832
2019-09-01,Jakarta Pusat,Menteng,0.0,1.1782722473144531
2019-10-01,Jakarta Pusat,Menteng,0.0,0.6174303889274597
2019-11-01,Jakarta Pusat,Menteng,0.0,0.6177248358726501
2019-12-01,Jakarta Pusat,Menteng,0.0,1.0832511186599731
2020-01-01,Jakarta Pusat,Menteng,0.0,0.05107017233967781
2020-02-01,Jakarta Pusat,Menteng,0.0,0.0
2020-03-01,Jakarta Pusat,Menteng,0.0,1.6375646591186523
2020-04-01,Jakarta Pusat,Menteng,90.0,37.37297821044922
2020-05-01,Jakarta Pusat,Menteng,0.0,1.0067678689956665
2020-06-01,Jakarta Pusat,Menteng,0.0,0.0
2020-07-01,Jakarta Pusat,Menteng,0.0,0.0
2020-08-01,Jakarta Pusat,Menteng,0.0,1.9360501766204834
2020-09-01,Jakarta Pusat,Menteng,0.0,0.0
2020-10-01,Jakarta Pusat,Menteng,0.0,0.6179423332214355
2020-11-01,Jakarta Pusat,Menteng,0.0,0.0
2018-12-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,4.70280647277832e-05
2019-01-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,8.32676887512207e-05
2019-02-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.0
2019-03-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,2.2113323211669922e-05
2019-04-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,1.8358230590820312e-05
2019-05-01,Jakarta Pusat,Senen,20.0,6.73532485961914e-05
2019-06-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,5.805492401123047e-05
2019-07-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,5.167722702026367e-05
2019-08-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,6.735324859619141e-06
2019-09-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,2.3484230041503906e-05
2019-10-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,2.3543834686279297e-05
2019-11-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.0
2019-12-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,2.1576881408691406e-05
2020-01-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.0
2020-02-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,7.408857345581055e-05
2020-03-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.00012421607971191406
2020-04-01,Jakarta Pusat,Senen,50.00000000000001,4.8160552978515625e-05
2020-05-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,1.5437602996826172e-05
2020-06-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,8.875131607055664e-05
2020-07-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,9.763240814208984e-05
2020-08-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.0
2020-09-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,0.0001519918441772461
2020-10-01,Jakarta Pusat,Senen,20.0,3.5703182220458984e-05
2020-11-01,Jakarta Pusat,Senen,-1.1102230246251565e-16,3.701448440551758e-05
2018-12-01,Jakarta Pusat,Kemayoran,0.0,0.825123131275177
2019-01-01,Jakarta Pusat,Kemayoran,0.0,0.355031818151474
2019-02-01,Jakarta Pusat,Kemayoran,0.0,0.0
2019-03-01,Jakarta Pusat,Kemayoran,0.0,14.775473594665527
2019-04-01,Jakarta Pusat,Kemayoran,0.0,13.414341926574707
2019-05-01,Jakarta Pusat,Kemayoran,0.0,1.3700157403945923
2019-06-01,Jakarta Pusat,Kemayoran,0.0,0.0
2019-07-01,Jakarta Pusat,Kemayoran,0.0,0.0
2019-08-01,Jakarta Pusat,Kemayoran,0.0,0.7173212170600891
2019-09-01,Jakarta Pusat,Kemayoran,0.0,2.7456893920898438
2019-10-01,Jakarta Pusat,Kemayoran,0.0,1.3024758100509644
2019-11-01,Jakarta Pusat,Kemayoran,0.0,0.0
2019-12-01,Jakarta Pusat,Kemayoran,0.0,5.787370204925537
2020-01-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-02-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-03-01,Jakarta Pusat,Kemayoran,70.0,34.90974807739258
2020-04-01,Jakarta Pusat,Kemayoran,100.0,76.92892456054688
2020-05-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-06-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-07-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-08-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-09-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-10-01,Jakarta Pusat,Kemayoran,0.0,0.0
2020-11-01,Jakarta Pusat,Kemayoran,0.0,0.0
2018-12-01,Jakarta Selatan,Cilandak,0.0,0.0
2019-01-01,Jakarta Selatan,Cilandak,70.0,8.860177993774414
2019-02-01,Jakarta Selatan,Cilandak,60.0,65.44023132324219
2019-03-01,Jakarta Selatan,Cilandak,0.0,0.0
2019-04-01,Jakarta Selatan,Cilandak,50.0,69.16464233398438
2019-05-01,Jakarta Selatan,Cilandak,30.0,23.111732482910156
2019-06-01,Jakarta Selatan,Cilandak,50.0,51.25114059448242
2019-07-01,Jakarta Selatan,Cilandak,0.0,0.0
2019-08-01,Jakarta Selatan,Cilandak,0.0,0.0
